Date,Price,Change %
11/1/2024,3.7247,-0.32%
10/1/2024,3.7365,0.53%
9/1/2024,3.7167,2.63%
8/1/2024,3.6216,-3.95%
7/1/2024,3.7706,0.13%
6/1/2024,3.7656,1.56%
5/1/2024,3.7076,-0.53%
4/1/2024,3.7274,1.30%
3/1/2024,3.6795,3.15%
2/1/2024,3.5671,-1.94%
1/1/2024,3.6376,1.02%
12/1/2023,3.6008,-3.28%
11/1/2023,3.7231,-7.77%
10/1/2023,4.0369,6.01%
9/1/2023,3.808,0.19%
8/1/2023,3.8009,3.74%
7/1/2023,3.664,-1.14%
6/1/2023,3.7061,-0.73%
5/1/2023,3.7333,3.05%
4/1/2023,3.6227,0.76%
3/1/2023,3.5953,-1.49%
2/1/2023,3.6496,5.81%
1/1/2023,3.4492,-1.95%
12/1/2022,3.5177,3.23%
